,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
2858,KTR,2024-08-14,2025-10-07,419,Wednesday,705623,GBP,59272,500001,114760,0.11854376291247418,1.936158725873937,0.2295195409609181,35-55,A,martinezjenna,ashleypena@example.com,David Lee,M,19
2859,BYU,2025-04-26,2026-12-30,613,Saturday,686017,USD,36028,500002,389316,0.07205571177715289,10.80592872210503,0.7786288854844581,45-65,F,martinezjenna,ashleypena@example.com,David Lee,M,19
2860,GRZ,2023-08-08,2024-03-15,220,Tuesday,281513,USD,80314,499999,28032,0.1606283212566425,0.3490300570261723,0.05606411212822426,45-65,M,martinezjenna,ashleypena@example.com,David Lee,M,19
2861,KTR,2023-11-19,2024-04-26,159,Sunday,887631,USD,70210,500000,355574,0.14042,5.064435265631676,0.711148,40-55,F,martinezjenna,ashleypena@example.com,David Lee,M,19
2862,AKX,2024-11-07,2025-03-30,143,Thursday,696166,USD,64707,500000,320778,0.129414,4.95739255412861,0.641556,30-35,M,usalinas,dvance@example.com,Christian Hernandez,M,58
2863,AKX,2025-01-16,2026-11-13,666,Thursday,359770,GBP,26166,500000,304898,0.052332,11.65244974394252,0.609796,30-35,A,usalinas,dvance@example.com,Christian Hernandez,M,58
2864,KTR,2024-12-06,2025-07-05,211,Friday,477736,GBP,31493,499998,277369,0.06298625194500777,8.807322262089988,0.5547402189608759,45-60,A,usalinas,dvance@example.com,Christian Hernandez,M,58
2865,AKX,2024-05-19,2025-12-22,582,Sunday,80187,USD,25425,499997,73850,0.05085030510183061,2.904621435594887,0.14770088620531724,30-55,M,usalinas,dvance@example.com,Christian Hernandez,M,58
2866,AKX,2023-09-27,2024-11-24,424,Wednesday,349334,USD,56634,499999,55279,0.11326822653645308,0.9760744429141505,0.11055822111644223,40-60,F,usalinas,dvance@example.com,Christian Hernandez,M,58
2867,AKX,2023-08-01,2024-01-31,183,Tuesday,124168,EUR,30662,500000,58254,0.061324,1.8998760680973192,0.116508,35-45,M,tdyer,camposjack@example.org,Sean Lin,O,85
2868,GRZ,2025-06-24,2026-07-14,385,Tuesday,346048,EUR,27915,499999,234090,0.05583011166022332,8.385814078452444,0.46818093636187275,35-40,F,tdyer,camposjack@example.org,Sean Lin,O,85
2869,BYU,2023-07-31,2024-06-07,312,Monday,274219,GBP,64332,499999,128296,0.12866425732851466,1.9942796741901387,0.25659251318502635,30-55,M,tdyer,camposjack@example.org,Sean Lin,O,85
2870,BYU,2024-12-22,2025-07-11,201,Sunday,58775,EUR,24341,500003,25608,0.04868170790975254,1.0520520931761226,0.051215692705843766,35-40,F,tdyer,camposjack@example.org,Sean Lin,O,85
2871,AKX,2025-03-10,2026-03-10,365,Monday,880828,GBP,17422,499998,681107,0.034844139376557504,39.094650441969925,1.3622194488777954,20-25,A,andrewmiller,katie91@example.com,Jessica Adams,F,87
2872,BYU,2024-06-20,2025-09-15,452,Thursday,914514,GBP,36380,500001,593409,0.07275985448029104,16.311407366684993,1.1868156263687473,45-60,F,andrewmiller,katie91@example.com,Jessica Adams,F,87
2873,BYU,2025-04-23,2025-10-14,174,Wednesday,801576,USD,6777,500000,639414,0.013554,94.35059760956176,1.278828,25-30,M,andrewmiller,katie91@example.com,Jessica Adams,F,87
2874,AKX,2024-11-30,2025-08-16,259,Saturday,168867,USD,81557,499997,44198,0.16311497868987213,0.541927731525191,0.08839653037918227,45-70,M,andrewmiller,katie91@example.com,Jessica Adams,F,87
2875,AKX,2025-01-01,2026-09-06,613,Wednesday,901847,USD,20031,499998,701794,0.040062160248640996,35.03539513753682,1.4035936143744574,40-55,A,andrewmiller,katie91@example.com,Jessica Adams,F,87
2876,GRZ,2023-10-02,2024-09-07,341,Monday,639948,USD,52295,499999,41341,0.10459020918041836,0.7905344679223635,0.08268216536433073,25-45,M,andrewmiller,katie91@example.com,Jessica Adams,F,87
2877,KTR,2024-04-21,2025-11-14,572,Sunday,765128,EUR,48582,500003,568822,0.09716341701949788,11.70849285743691,1.1376371741769549,40-55,A,andrewmiller,katie91@example.com,Jessica Adams,F,87
2878,AKX,2024-03-24,2025-07-01,464,Sunday,84284,EUR,40203,499997,27789,0.08040648243889463,0.6912170733527349,0.05557833347000082,20-45,A,elizabethcooper,williamscindy@example.org,John Fisher,M,28
2879,GRZ,2025-03-26,2025-10-08,196,Wednesday,39015,USD,48871,499997,806,0.09774258645551873,0.01649239835485257,0.0016120096720580322,20-25,M,elizabethcooper,williamscindy@example.org,John Fisher,M,28
2880,KTR,2023-08-16,2025-06-22,676,Wednesday,77541,EUR,36240,500000,49493,0.07248,1.3657008830022075,0.098986,45-60,M,tasha97,wcampbell@example.net,Anna Hernandez,F,68
2881,BYU,2025-03-19,2026-09-03,533,Wednesday,842410,EUR,8347,499999,120526,0.016694033388066777,14.439439319515994,0.24105248210496422,40-60,M,tasha97,wcampbell@example.net,Anna Hernandez,F,68
2882,GRZ,2025-05-06,2027-02-13,648,Tuesday,514930,GBP,30913,499996,25682,0.0618264946119569,0.8307831656584609,0.051364410915287324,45-55,M,tasha97,wcampbell@example.net,Anna Hernandez,F,68
2883,KTR,2024-03-05,2024-10-21,230,Tuesday,813821,USD,71006,499998,555767,0.1420125680502722,7.827042785116751,1.1115384461537847,35-40,A,tasha97,wcampbell@example.net,Anna Hernandez,F,68
2884,GRZ,2025-07-14,2027-01-16,551,Monday,527035,EUR,39751,499999,125669,0.07950215900431801,3.1614047445347286,0.25133850267700536,25-35,F,tasha97,wcampbell@example.net,Anna Hernandez,F,68
2885,AKX,2024-01-26,2024-06-07,133,Friday,5677,EUR,40606,499997,2332,0.08121248727492365,0.05742993646259174,0.0046640279841679054,35-45,M,tasha97,wcampbell@example.net,Anna Hernandez,F,68
2886,GRZ,2023-07-30,2024-05-18,293,Sunday,584710,EUR,31513,500001,8477,0.0630258739482521,0.26900009519880685,0.016953966092067816,20-40,F,tasha97,wcampbell@example.net,Anna Hernandez,F,68
2887,KTR,2024-04-11,2025-11-03,571,Thursday,538819,GBP,61086,500002,345978,0.12217151131395475,5.663785482762008,0.6919532321870713,45-55,M,montgomeryjoshua,ellisdouglas@example.com,Edward Rivera,M,26
2888,BYU,2024-03-18,2026-03-10,722,Monday,927404,EUR,8472,500003,746000,0.016943898336609982,88.0547686496695,1.4919910480537117,25-45,A,montgomeryjoshua,ellisdouglas@example.com,Edward Rivera,M,26
2889,KTR,2024-05-18,2024-05-30,12,Saturday,190014,GBP,45554,499993,49049,0.09110927552985741,1.0767221319752383,0.09809937339122747,25-50,A,montgomeryjoshua,ellisdouglas@example.com,Edward Rivera,M,26
2890,GRZ,2023-11-18,2024-07-18,243,Saturday,18150,EUR,49391,499999,14120,0.09878219756439513,0.28588204328723854,0.02824005648011296,35-45,F,montgomeryjoshua,ellisdouglas@example.com,Edward Rivera,M,26
2891,KTR,2025-04-25,2027-02-12,658,Friday,932530,EUR,37122,500001,212343,0.07424385151229698,5.720139001131405,0.42468515062969875,30-55,A,montgomeryjoshua,ellisdouglas@example.com,Edward Rivera,M,26
2892,KTR,2024-04-26,2025-01-12,261,Friday,669297,EUR,40195,500001,661071,0.08038983922032156,16.446597835551685,1.3221393557212886,20-25,M,montgomeryjoshua,ellisdouglas@example.com,Edward Rivera,M,26
2893,KTR,2023-10-01,2024-07-04,277,Sunday,235466,EUR,30307,500000,81398,0.060614,2.6857821625367078,0.162796,35-55,M,hernandezchad,douglas00@example.net,Jennifer Fernandez,F,32
2894,KTR,2025-04-18,2025-07-09,82,Friday,215706,EUR,28148,500000,25864,0.056296,0.9188574676708825,0.051728,35-55,F,hernandezchad,douglas00@example.net,Jennifer Fernandez,F,32
2895,BYU,2024-01-13,2025-01-20,373,Saturday,216278,EUR,19211,500000,88283,0.038422,4.5954401124355835,0.176566,30-45,F,hernandezchad,douglas00@example.net,Jennifer Fernandez,F,32
2896,BYU,2024-04-11,2024-07-15,95,Thursday,266002,GBP,44561,500000,85738,0.089122,1.924059154866363,0.171476,35-45,M,hernandezchad,douglas00@example.net,Jennifer Fernandez,F,32
2897,KTR,2023-09-05,2025-01-28,511,Tuesday,606875,USD,15038,500000,241536,0.030076,16.061710333820987,0.483072,30-35,F,hernandezchad,douglas00@example.net,Jennifer Fernandez,F,32
2898,AKX,2023-09-27,2025-06-05,617,Wednesday,610841,USD,47090,500001,536854,0.09417981164037673,11.400594606073476,1.0737058525882948,25-35,M,hernandezchad,douglas00@example.net,Jennifer Fernandez,F,32
2899,KTR,2024-03-10,2024-10-10,214,Sunday,930610,GBP,57256,500001,306726,0.11451177097645805,5.357097946066788,0.6134507730984537,25-40,A,hernandezchad,douglas00@example.net,Jennifer Fernandez,F,32
2900,GRZ,2023-11-07,2025-06-16,587,Tuesday,363278,EUR,38185,500000,114404,0.07637,2.9960455676312687,0.228808,20-25,A,hernandezchad,douglas00@example.net,Jennifer Fernandez,F,32
2901,BYU,2024-01-30,2024-12-28,333,Tuesday,969255,USD,16024,500005,438346,0.03204767952320477,27.35559161258113,0.8766832331676683,45-65,A,michellemartinez,sandra91@example.org,Marisa Garcia,F,76
2902,GRZ,2023-12-07,2025-07-20,591,Thursday,98854,USD,44503,500000,65339,0.089006,1.4681931555176055,0.130678,30-50,M,michellemartinez,sandra91@example.org,Marisa Garcia,F,76
2903,KTR,2025-01-10,2026-04-23,468,Friday,526958,GBP,10789,500000,132847,0.021578,12.313189359532858,0.265694,25-45,F,ronniedelacruz,jasmine42@example.net,Marisa Robbins,F,75
2904,AKX,2024-12-31,2026-03-06,430,Tuesday,419438,EUR,22308,500000,313256,0.044616,14.042316657701273,0.626512,35-60,M,ronniedelacruz,jasmine42@example.net,Marisa Robbins,F,75
2905,GRZ,2025-03-31,2027-01-18,658,Monday,597170,EUR,61535,499998,28970,0.12307049228196913,0.4707889818802308,0.057940231760927045,35-60,A,ronniedelacruz,jasmine42@example.net,Marisa Robbins,F,75
2906,KTR,2023-12-15,2025-04-16,488,Friday,865042,USD,89846,499998,187903,0.1796927187708751,2.0913897112837523,0.37580750323001294,35-55,F,ronniedelacruz,jasmine42@example.net,Marisa Robbins,F,75
2907,AKX,2024-09-22,2025-09-25,368,Sunday,447129,GBP,21146,499996,295397,0.04229233833870671,13.969403196822094,0.5907987263898111,20-40,M,ronniedelacruz,jasmine42@example.net,Marisa Robbins,F,75
2908,AKX,2024-11-12,2025-02-23,103,Tuesday,963780,USD,70840,499999,823415,0.14168028336056673,11.623588368153586,1.6468332936665873,30-40,F,jgreen,homeghan@example.net,Brianna Lucas,F,60
2909,KTR,2023-12-30,2025-09-13,623,Saturday,793638,GBP,17132,500000,327910,0.034264,19.14020546346019,0.65582,35-40,F,jgreen,homeghan@example.net,Brianna Lucas,F,60
2910,AKX,2023-08-26,2024-08-24,364,Saturday,394732,GBP,10811,500001,184263,0.021621956756086486,17.044029229488483,0.3685252629494741,40-65,A,jgreen,homeghan@example.net,Brianna Lucas,F,60
2911,KTR,2024-07-11,2025-10-07,453,Thursday,490856,GBP,65463,499997,12816,0.13092678556071335,0.1957747124329774,0.025632153792922757,40-50,A,jgreen,homeghan@example.net,Brianna Lucas,F,60
2912,BYU,2024-05-22,2025-06-20,394,Wednesday,778136,USD,32293,499999,181141,0.06458612917225834,5.609296132288732,0.36228272456544913,35-55,A,jgreen,homeghan@example.net,Brianna Lucas,F,60
2913,KTR,2025-05-05,2026-10-25,538,Monday,927398,GBP,65561,499998,56315,0.13112252449009795,0.85897103460899,0.11263045052180208,40-45,A,jgreen,homeghan@example.net,Brianna Lucas,F,60
2914,AKX,2024-07-16,2025-11-21,493,Tuesday,170513,USD,72285,499999,128503,0.1445702891405783,1.77772705263886,0.25700651401302804,25-40,F,susan60,michellesaunders@example.com,Pamela West,F,73
2915,AKX,2024-06-04,2025-09-29,482,Tuesday,980188,USD,15468,499998,591242,0.03093612374449498,38.223558313938454,1.1824887299549198,35-50,F,susan60,michellesaunders@example.com,Pamela West,F,73
2916,KTR,2024-08-28,2024-12-07,101,Wednesday,164047,EUR,39784,499999,78234,0.07956815913631828,1.966468932234064,0.1564683129366259,25-45,A,susan60,michellesaunders@example.com,Pamela West,F,73
2917,GRZ,2024-12-14,2025-10-17,307,Saturday,465742,EUR,37443,500000,43152,0.074886,1.1524717570707474,0.086304,35-50,M,chandlerrobert,kyleallen@example.org,Douglas Montgomery,M,36
2918,GRZ,2024-05-12,2025-09-10,486,Sunday,961861,EUR,54224,500002,917523,0.10844756620973516,16.920975951608145,1.8350386598453605,30-55,A,chandlerrobert,kyleallen@example.org,Douglas Montgomery,M,36
2919,GRZ,2025-04-05,2026-12-27,631,Saturday,996555,GBP,96387,499999,860266,0.1927743855487711,8.925124757488042,1.7205354410708822,40-50,M,chandlerrobert,kyleallen@example.org,Douglas Montgomery,M,36
2920,BYU,2024-09-28,2026-05-24,603,Saturday,853738,GBP,29451,500002,298628,0.05890176439294243,10.13982547281926,0.5972536109855561,30-35,F,katherinecallahan,jreynolds@example.net,Casey Todd,O,29
2921,BYU,2023-10-13,2023-11-12,30,Friday,620851,EUR,52046,500006,191634,0.10409075091098907,3.6820120662490874,0.3832634008391899,45-55,M,katherinecallahan,jreynolds@example.net,Casey Todd,O,29
2922,BYU,2024-02-23,2024-07-17,145,Friday,943156,USD,17906,500001,897437,0.03581192837614325,50.11934547079191,1.7948704102591795,35-45,F,katherinecallahan,jreynolds@example.net,Casey Todd,O,29
2923,KTR,2025-01-14,2025-06-15,152,Tuesday,640325,EUR,59910,499998,601351,0.11982047928191712,10.037573026205976,1.2027068108272434,30-40,M,katherinecallahan,jreynolds@example.net,Casey Todd,O,29
2924,GRZ,2024-04-27,2024-05-28,31,Saturday,682972,USD,53570,500001,161830,0.10713978572042857,3.020907224192645,0.32365935268129464,45-55,F,katherinecallahan,jreynolds@example.net,Casey Todd,O,29
2925,AKX,2025-02-03,2026-08-02,545,Monday,693289,EUR,15801,499999,197275,0.03160206320412641,12.484969305740144,0.3945507891015782,20-25,F,katherinecallahan,jreynolds@example.net,Casey Todd,O,29
2926,AKX,2024-12-03,2025-02-18,77,Tuesday,639876,USD,63402,499995,109756,0.12680526805268053,1.7311125831992682,0.21951419514195142,20-45,A,stevensmith,kaylajones@example.org,Kristin Myers,F,71
2927,BYU,2024-03-04,2025-01-10,312,Monday,58077,GBP,37656,499999,2055,0.07531215062430124,0.0545729764181007,0.00411000822001644,45-65,M,stevensmith,kaylajones@example.org,Kristin Myers,F,71
2928,KTR,2024-12-14,2026-04-16,488,Saturday,621042,EUR,20453,500000,278028,0.040906,13.593507064978242,0.556056,30-45,A,stevensmith,kaylajones@example.org,Kristin Myers,F,71
2929,GRZ,2024-02-28,2025-04-27,424,Wednesday,712348,USD,49086,500001,664900,0.09817180365639269,13.545613820641323,1.3297973404053192,25-35,F,stevensmith,kaylajones@example.org,Kristin Myers,F,71
2930,BYU,2023-09-28,2025-06-10,621,Thursday,179648,GBP,87517,500000,171624,0.175034,1.9610361415496418,0.343248,40-65,A,vnguyen,warnermichael@example.com,Jasmine Lee,O,24
2931,GRZ,2024-11-27,2025-06-07,192,Wednesday,353753,GBP,51676,499998,76621,0.10335241340965363,1.4827192507159996,0.15324261297045189,30-40,F,vnguyen,warnermichael@example.com,Jasmine Lee,O,24
2932,BYU,2024-01-29,2024-04-01,63,Monday,900772,EUR,86923,499998,366818,0.17384669538678155,4.220033823038781,0.7336389345557383,35-60,F,vnguyen,warnermichael@example.com,Jasmine Lee,O,24
2933,BYU,2024-10-02,2025-09-27,360,Wednesday,202041,EUR,11288,499997,188265,0.02257613545681274,16.678330970942593,0.37653225919355515,20-40,M,zramirez,nicolewalker@example.com,Daniel Wright,M,27
2934,AKX,2024-03-13,2024-12-27,289,Wednesday,398006,USD,60992,499997,321912,0.12198473190839144,5.277938090241343,0.6438278629671778,35-50,M,zramirez,nicolewalker@example.com,Daniel Wright,M,27
2935,BYU,2025-05-22,2027-03-22,669,Thursday,545947,USD,44612,500001,487463,0.08922382155235689,10.926723751457008,0.9749240501518996,30-45,M,zramirez,nicolewalker@example.com,Daniel Wright,M,27
2936,GRZ,2024-05-17,2026-05-13,726,Friday,111452,GBP,4347,499997,106573,0.008694052164312986,24.51644812514378,0.2131472788836733,40-60,F,chenlisa,moniquemorgan@example.org,Angel Harrison,O,75
2937,GRZ,2024-03-02,2024-10-31,243,Saturday,675635,GBP,19511,499999,197800,0.03902207804415609,10.137870944595356,0.3956007912015824,35-45,A,chenlisa,moniquemorgan@example.org,Angel Harrison,O,75
2938,GRZ,2024-09-22,2024-11-06,45,Sunday,196143,USD,57529,500000,50080,0.115058,0.8705174781414591,0.10016,30-45,A,chenlisa,moniquemorgan@example.org,Angel Harrison,O,75
2939,BYU,2024-12-25,2025-11-21,331,Wednesday,761904,EUR,31877,499995,234618,0.06375463754637546,7.360102895504596,0.46924069240692406,30-40,F,chenlisa,moniquemorgan@example.org,Angel Harrison,O,75
2940,AKX,2024-10-17,2025-03-22,156,Thursday,53027,GBP,32999,500004,32990,0.06599747202022384,0.9997272644625594,0.06597947216422269,20-35,F,chenlisa,moniquemorgan@example.org,Angel Harrison,O,75
2941,KTR,2024-04-25,2025-09-21,514,Thursday,70738,EUR,29099,499997,5648,0.05819834919009514,0.19409601704525928,0.011296067776406658,25-45,M,chenlisa,moniquemorgan@example.org,Angel Harrison,O,75
2942,GRZ,2024-03-20,2024-10-19,213,Wednesday,374037,EUR,43648,500001,84678,0.08729582540834918,1.9400201612903225,0.16935566128867743,20-25,F,chenlisa,moniquemorgan@example.org,Angel Harrison,O,75
2943,GRZ,2025-02-19,2026-06-30,496,Wednesday,712711,GBP,66251,499997,80289,0.1325027950167701,1.2118911412657922,0.16057896347378084,20-30,F,chenlisa,moniquemorgan@example.org,Angel Harrison,O,75
2944,BYU,2023-10-11,2024-12-27,443,Wednesday,849073,USD,67344,500002,798273,0.134687461250155,11.853661796151105,1.5965396138415446,30-35,M,rburgess,ryanbutler@example.org,Erika Phillips,F,80
2945,AKX,2024-06-18,2024-06-28,10,Tuesday,72873,USD,30627,500001,71436,0.061253877492245014,2.3324517582525224,0.1428717142565715,20-25,M,rburgess,ryanbutler@example.org,Erika Phillips,F,80
2946,BYU,2025-04-22,2025-11-25,217,Tuesday,972124,USD,2910,499996,848702,0.005820046560372483,291.65017182130583,1.6974175793406348,45-50,A,rburgess,ryanbutler@example.org,Erika Phillips,F,80
2947,AKX,2024-04-23,2026-01-29,646,Tuesday,908106,GBP,78155,499997,709611,0.1563109378656272,9.079534258844603,1.4192305153830922,30-35,A,rburgess,ryanbutler@example.org,Erika Phillips,F,80
2948,KTR,2023-12-01,2025-09-05,644,Friday,931526,USD,17825,499997,737291,0.03565021390128341,41.36274894810659,1.4745908475450853,40-60,A,rburgess,ryanbutler@example.org,Erika Phillips,F,80
2949,GRZ,2025-02-16,2025-11-20,277,Sunday,980153,EUR,8170,500002,12926,0.016339934640261438,1.5821297429620562,0.02585189659241363,35-50,A,rburgess,ryanbutler@example.org,Erika Phillips,F,80
2950,GRZ,2025-05-15,2027-04-01,686,Thursday,241994,GBP,15415,499999,177214,0.03083006166012332,11.49620499513461,0.35442870885741773,25-30,M,rburgess,ryanbutler@example.org,Erika Phillips,F,80
2951,KTR,2025-04-03,2026-05-08,400,Thursday,973276,USD,19690,499997,155238,0.03938023628141769,7.884103605891315,0.3104778628671772,40-65,M,rburgess,ryanbutler@example.org,Erika Phillips,F,80
2952,KTR,2025-01-08,2026-04-06,453,Wednesday,294120,USD,55454,500000,116322,0.110908,2.0976304684964115,0.232644,30-35,A,ian69,hillanthony@example.com,Karen Wu,F,22
2953,GRZ,2024-08-08,2024-12-05,119,Thursday,330765,EUR,10433,500000,306967,0.020866,29.422697210773507,0.613934,25-35,A,ian69,hillanthony@example.com,Karen Wu,F,22
2954,KTR,2024-05-13,2025-07-08,421,Monday,22064,EUR,60076,500000,687,0.120152,0.0114355150143152,0.001374,30-55,A,ian69,hillanthony@example.com,Karen Wu,F,22
2955,BYU,2025-03-16,2027-02-17,703,Sunday,823954,USD,31181,499999,371136,0.06236212472424945,11.902633013694237,0.7422734845469691,20-30,A,cindyphillips,rachaelhuang@example.com,Jamie Miller,F,42
2956,BYU,2024-02-04,2025-11-17,652,Sunday,388664,GBP,44913,500000,55933,0.089826,1.2453632578540734,0.111866,40-55,F,cindyphillips,rachaelhuang@example.com,Jamie Miller,F,42
2957,KTR,2024-11-25,2026-10-10,684,Monday,64508,EUR,28430,499999,63277,0.05686011372022744,2.2257122757650367,0.1265542531085062,20-35,M,cindyphillips,rachaelhuang@example.com,Jamie Miller,F,42
2958,BYU,2024-10-07,2025-08-13,310,Monday,66091,GBP,26907,500001,26510,0.053813892372215254,0.985245475155164,0.05301989396021208,45-55,M,cindyphillips,rachaelhuang@example.com,Jamie Miller,F,42
2959,BYU,2024-05-13,2025-11-30,566,Monday,637599,GBP,33619,499998,347940,0.06723826895307582,10.349504744340997,0.6958827835311341,40-45,F,cindyphillips,rachaelhuang@example.com,Jamie Miller,F,42
2960,KTR,2025-01-23,2026-02-03,376,Thursday,278365,EUR,72216,499999,3884,0.14443228886457773,0.053783095158967544,0.0077680155360310725,30-45,F,cindyphillips,rachaelhuang@example.com,Jamie Miller,F,42
2961,AKX,2024-04-20,2024-11-30,224,Saturday,296509,GBP,26003,499994,62807,0.05200662407948895,2.415375149021267,0.12561550738608862,20-40,F,cindyphillips,rachaelhuang@example.com,Jamie Miller,F,42
2962,BYU,2025-04-03,2026-11-24,600,Thursday,564065,GBP,73336,499993,438717,0.1466740534367481,5.982287007745173,0.8774462842479794,45-55,A,cindyphillips,rachaelhuang@example.com,Jamie Miller,F,42
2963,GRZ,2023-10-18,2024-06-17,243,Wednesday,566087,GBP,2899,500002,131795,0.005797976808092768,45.46222835460504,0.2635889456442174,40-55,M,brandismith,davidramirez@example.com,Stephanie Ford,F,47
2964,BYU,2023-07-29,2024-02-29,215,Saturday,736885,USD,35032,500002,227042,0.07006371974512102,6.480988810230646,0.4540821836712653,40-45,M,brandismith,davidramirez@example.com,Stephanie Ford,F,47
2965,GRZ,2025-06-13,2027-05-27,713,Friday,31249,EUR,43768,499997,10758,0.08753652521915131,0.24579601535368306,0.02151612909677458,25-35,F,brandismith,davidramirez@example.com,Stephanie Ford,F,47
2966,AKX,2025-02-19,2025-08-03,165,Wednesday,263248,GBP,24397,500000,181997,0.048794,7.45981063245481,0.363994,20-35,F,kmorrison,thomas08@example.com,Melinda Johnson,F,41
2967,BYU,2024-11-03,2025-06-30,239,Sunday,504626,USD,47811,499998,11152,0.09562238248952996,0.2332517621467863,0.022304089216356866,45-50,A,kmorrison,thomas08@example.com,Melinda Johnson,F,41
2968,BYU,2024-11-19,2026-08-22,641,Tuesday,655111,EUR,58388,499997,6797,0.11677670066020396,0.11641090635061999,0.013594081564489387,35-60,F,kmorrison,thomas08@example.com,Melinda Johnson,F,41
2969,BYU,2025-05-03,2025-09-22,142,Saturday,872072,EUR,21686,499999,84302,0.04337208674417349,3.887392787973808,0.1686043372086744,20-25,F,kmorrison,thomas08@example.com,Melinda Johnson,F,41
2970,BYU,2025-07-16,2027-02-04,568,Wednesday,935894,EUR,44408,500000,77183,0.088816,1.7380426950099082,0.154366,40-45,M,kmorrison,thomas08@example.com,Melinda Johnson,F,41
2971,KTR,2025-04-10,2025-05-14,34,Thursday,301679,USD,68245,499999,136984,0.13649027298054597,2.0072386255403325,0.27396854793709585,20-45,M,kmorrison,thomas08@example.com,Melinda Johnson,F,41
2972,GRZ,2025-01-23,2026-11-08,654,Thursday,948458,GBP,12211,499997,325274,0.024422146532879198,26.637785603144707,0.6505519033114199,20-25,A,kmorrison,thomas08@example.com,Melinda Johnson,F,41
2973,GRZ,2025-03-12,2026-12-01,629,Wednesday,726669,GBP,16146,500002,693727,0.03229187083251667,42.96587390065651,1.3874484502061992,30-40,F,julia76,tlawrence@example.net,John Brown,M,51
2974,GRZ,2024-12-12,2025-12-28,381,Thursday,864992,USD,39892,499998,342484,0.07978431913727654,8.585280256693071,0.6849707398829595,40-50,A,julia76,tlawrence@example.net,John Brown,M,51
2975,BYU,2025-05-30,2026-08-03,430,Friday,703457,GBP,20320,500003,296363,0.04063975616146303,14.584793307086613,0.592722443665338,30-50,M,julia76,tlawrence@example.net,John Brown,M,51
2976,KTR,2025-01-01,2025-02-25,55,Wednesday,555464,USD,55836,499999,126407,0.1116722233444467,2.263897843685078,0.25281450562901125,40-50,F,julia76,tlawrence@example.net,John Brown,M,51
2977,BYU,2025-07-09,2025-11-24,138,Wednesday,824233,USD,72845,499998,399173,0.14569058276233104,5.4797583911044,0.7983491933967736,30-50,F,julia76,tlawrence@example.net,John Brown,M,51
2978,AKX,2025-06-11,2027-03-07,634,Wednesday,221333,GBP,66011,500000,127313,0.132022,1.9286634045840845,0.254626,35-45,A,julia76,tlawrence@example.net,John Brown,M,51
2979,GRZ,2025-01-27,2026-02-28,397,Monday,352014,EUR,60223,500001,27238,0.12044575910848178,0.45228567158726735,0.0544758910482179,30-55,F,rallison,michael51@example.net,Susan Ramirez,F,50
2980,GRZ,2023-10-04,2024-02-03,122,Wednesday,679724,EUR,68352,499999,92465,0.13670427340854682,1.3527768024344569,0.1849303698607397,40-60,F,rallison,michael51@example.net,Susan Ramirez,F,50
2981,GRZ,2024-03-09,2024-09-09,184,Saturday,37821,EUR,51293,500000,5253,0.102586,0.10241163511590276,0.010506,40-60,F,rallison,michael51@example.net,Susan Ramirez,F,50
2982,BYU,2025-02-10,2025-04-02,51,Monday,80803,GBP,60753,499996,50042,0.12150697205577644,0.8236959491712343,0.10008480067840543,40-45,M,karencarpenter,charles08@example.org,Heather Durham,F,63
2983,AKX,2024-07-06,2024-11-16,133,Saturday,468326,USD,38429,500001,303104,0.07685784628430743,7.887376720705717,0.6062067875864249,40-60,M,karencarpenter,charles08@example.org,Heather Durham,F,63
2984,AKX,2024-12-27,2025-10-22,299,Friday,96230,GBP,32518,500000,53137,0.065036,1.6340795866904483,0.106274,30-35,A,karencarpenter,charles08@example.org,Heather Durham,F,63
2985,AKX,2024-04-19,2024-10-05,169,Friday,293236,USD,15117,499997,128101,0.03023418140508843,8.473969702983396,0.25620353722122335,20-30,F,karencarpenter,charles08@example.org,Heather Durham,F,63
2986,KTR,2024-03-17,2024-09-15,182,Sunday,528372,EUR,35846,500000,441995,0.071692,12.330385538135356,0.88399,20-45,M,karencarpenter,charles08@example.org,Heather Durham,F,63
2987,BYU,2023-11-26,2025-04-29,520,Sunday,965381,GBP,69362,500002,285508,0.13872344510621956,4.116201954960929,0.5710137159451362,30-45,A,karencarpenter,charles08@example.org,Heather Durham,F,63
2988,BYU,2024-10-30,2025-02-07,100,Wednesday,875298,EUR,79368,499998,728735,0.15873663494653978,9.181723112589456,1.4574758299033197,40-65,M,tiffanyponce,evelynsmith@example.org,Theresa Dennis,F,43
2989,AKX,2024-06-24,2025-10-31,494,Monday,397212,GBP,13119,500002,11275,0.026237895048419807,0.8594405061361384,0.0225499098003608,20-25,F,tiffanyponce,evelynsmith@example.org,Theresa Dennis,F,43
2990,KTR,2024-05-22,2026-01-26,614,Wednesday,154814,GBP,27947,499999,3267,0.05589411178822357,0.11689984613733138,0.006534013068026136,20-30,M,tiffanyponce,evelynsmith@example.org,Theresa Dennis,F,43
2991,AKX,2024-08-22,2024-11-11,81,Thursday,211338,GBP,57843,499998,162705,0.11568646274585098,2.8128727763082826,0.3254113016452066,25-50,F,tiffanyponce,evelynsmith@example.org,Theresa Dennis,F,43
2992,AKX,2023-08-01,2024-11-17,474,Tuesday,841674,USD,36098,500000,68166,0.072196,1.8883594658983878,0.136332,35-60,F,tiffanyponce,evelynsmith@example.org,Theresa Dennis,F,43
